8320634	8319498	8319611	2017-01-01
8320644	8319516	8319613	2017-01-01
8320647	8319498	8319609	2017-01-01
8320655	8319500	8319609	2017-01-01
8320684	8319498	8319613	2017-01-01
8320634	8319498	8319611	2017-02-01
8320644	8319516	8319613	2017-02-01
8320647	8319498	8319609	2017-02-01
8320655	8319500	8319609	2017-02-01
8320684	8319498	8319613	2017-02-01
8320634	8319498	8319611	2017-03-01
8320644	8319516	8319613	2017-03-01
8320647	8319498	8319609	2017-03-01
8320655	8319500	8319609	2017-03-01
8320684	8319498	8319613	2017-03-01
8320634	8319498	8319611	2017-04-01
8320644	8319516	8319613	2017-04-01
8320647	8319498	8319609	2017-04-01
8320655	8319500	8319609	2017-04-01
8320684	8319498	8319613	2017-04-01
8320634	8319498	8319611	2017-05-01
8320644	8319516	8319613	2017-05-01
8320647	8319498	8319609	2017-05-01
8320684	8319498	8319613	2017-05-01
8320634	8319498	8319611	2017-06-01
8320644	8319516	8319613	2017-06-01
8320647	8319498	8319609	2017-06-01
8320655	8319500	8319609	2017-06-01
8320684	8319498	8319613	2017-06-01
8320634	8319498	8319611	2017-07-01
8320644	8319516	8319613	2017-07-01
8320647	8319498	8319609	2017-07-01
8320655	8319500	8319609	2017-07-01
8320684	8319498	8319613	2017-07-01
8320634	8319498	8319611	2017-08-01
8320644	8319516	8319613	2017-08-01
8320647	8319498	8319609	2017-08-01
8320655	8319500	8319609	2017-08-01
8320684	8319498	8319613	2017-08-01
8320634	8319498	8319611	2017-09-01
8320644	8319516	8319613	2017-09-01
8320647	8319498	8319609	2017-09-01
8320655	8319500	8319609	2017-09-01
8320684	8319498	8319613	2017-09-01
8320634	8319498	8319611	2017-10-01
8320644	8319516	8319613	2017-10-01
8320647	8319498	8319609	2017-10-01
8320655	8319500	8319609	2017-10-01
8320684	8319498	8319613	2017-10-01
8320634	8319498	8319611	2017-11-01
8320644	8319516	8319613	2017-11-01
8320647	8319498	8319609	2017-11-01
8320655	8319500	8319609	2017-11-01
8320684	8319498	8319613	2017-11-01
8320644	8319516	8319613	2017-12-01
8320647	8319498	8319609	2017-12-01
8320655	8319500	8319609	2017-12-01
8320684	8319498	8319613	2017-12-01
8320634	8319498	8319613	2018-01-01
8320647	8319498	8319609	2018-01-01
8320655	8319500	8319609	2018-01-01
8320684	8319498	8319613	2018-01-01
8320634	8319498	8319613	2018-02-01
8320644	8319516	8319613	2018-02-01
8320647	8319498	8319609	2018-02-01
8320655	8319500	8319609	2018-02-01
8320684	8319498	8319613	2018-02-01
8320634	8319498	8319613	2018-03-01
8320644	8319516	8319613	2018-03-01
8320647	8319498	8319609	2018-03-01
8320655	8319500	8319609	2018-03-01
8320684	8319498	8319613	2018-03-01
8320634	8319498	8319613	2018-04-01
8320644	8319516	8319613	2018-04-01
8320647	8319498	8319609	2018-04-01
8320655	8319500	8319609	2018-04-01
8320684	8319498	8319613	2018-04-01
8320634	8319498	8319613	2018-05-01
8320644	8319516	8319613	2018-05-01
8320647	8319498	8319609	2018-05-01
8320655	8319500	8319609	2018-05-01
8320684	8319498	8319613	2018-05-01
8320634	8319498	8319613	2018-06-01
8320644	8319516	8319613	2018-06-01
8320647	8319498	8319609	2018-06-01
8320655	8319500	8319609	2018-06-01
8320684	8319498	8319613	2018-06-01
8320634	8319498	8319613	2018-07-01
8320644	8319516	8319613	2018-07-01
8320647	8319498	8319609	2018-07-01
8320655	8319500	8319609	2018-07-01
8320684	8319498	8319613	2018-07-01
8320634	8319498	8319613	2018-08-01
8320644	8319516	8319613	2018-08-01
8320655	8319500	8319609	2018-08-01
8320684	8319498	8319613	2018-08-01
8320634	8319498	8319613	2018-09-01
8320644	8319516	8319613	2018-09-01
8320655	8319500	8319609	2018-09-01
8320684	8319498	8319613	2018-09-01
8320634	8319498	8319613	2018-10-01
8320644	8319516	8319613	2018-10-01
8320647	8319498	8319609	2018-10-01
8320655	8319500	8319609	2018-10-01
8320684	8319498	8319613	2018-10-01
8320634	8319498	8319613	2018-11-01
8320644	8319516	8319613	2018-11-01
8320647	8319498	8319609	2018-11-01
8320655	8319500	8319609	2018-11-01
8320684	8319498	8319613	2018-11-01
8320644	8319516	8319613	2018-12-01
8320647	8319498	8319609	2018-12-01
8320655	8319500	8319609	2018-12-01
8320684	8319498	8319613	2018-12-01
